Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,TN,TX,TAVG,RR,FF_AVG,Confidence_encoded
Kalimantan Tengah,KOTA PALANGKARAYA,Jekan Raya,Kelurahan Petuk Katimpun,21/08/2023,12:57 WIB,NASA-MODIS,medium,"-2,00000",13078.0,23.4,35.4,28.4,0.0,2.0,0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,28/08/2023,12:27 WIB,NASA-NOAA20,medium,"-2,00000",4689.0,24.2,33.8,28.3,0.0,4.0,0
Kalimantan Barat,KETAPANG,Simpang Hulu,Balai Pinang Hulu,15/08/2023,13:12 WIB,NASA-NOAA20,medium,"0,00000",62773.0,23.0,33.4,27.7,0.0,4.0,0
Kalimantan Timur,BERAU,Kelay,Muara Lesan,20/08/2023,13:20 WIB,NASA-NOAA20,medium,"1,00000",6095.0,23.5,34.3,27.7,0.0,1.0,0
Kalimantan Barat,KETAPANG,Sungai Laur,Tanjung Maju,28/08/2023,12:27 WIB,NASA-NOAA20,medium,"0,00000",70247.0,24.2,33.8,28.3,0.0,4.0,0
Kalimantan Barat,SINTANG,Kayan Hilir,Tuguk,05/08/2023,12:59 WIB,NASA-NOAA20,medium,-0.06011,1118664.0,,,21.8,34.6,27.7,0
Kalimantan Timur,BERAU,Kelay,Lesan Dayak,22/08/2023,12:42 WIB,NASA-NOAA20,medium,"1,00000",69483.0,24.2,33.8,28.1,0.3,1.0,0
Kalimantan Barat,KUBU RAYA,Batu Ampar,Sungaijawi,21/08/2023,12:59 WIB,NASA-NOAA20,medium,"0,00000",80239.0,24.1,34.4,27.2,0.0,3.0,0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,02/06/2023,12:59 WIB,NASA-NOAA20,medium,"0,00000",30664.0,23.4,34.7,28.6,0.2,2.0,0
Kalimantan Barat,KETAPANG,Simpang Dua,Gema,13/08/2023,13:57 WIB,NASA-MODIS,medium,"0,00000",87284.0,22.6,33.2,27.2,0.0,3.0,0
Kalimantan Barat,KETAPANG,Sandai,Demit,27/06/2023,13:50 WIB,NASA-MODIS,medium,"-1,00000",16565.0,23.9,32.9,27.6,0.0,3.0,0
Kalimantan Barat,KETAPANG,Tumbang Titi,Aur Gading,11/08/2023,12:48 WIB,NASA-NOAA20,medium,"-1,00000",80095.0,23.3,33.2,27.7,0.0,3.0,0
Kalimantan Barat,KETAPANG,Kendawangan,Bangkal Serai,24/06/2023,13:22 WIB,NASA-MODIS,high,-25249.0,11045467.0,,,24.2,32.6,28.3,1
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Kecil,13/08/2023,10:04 WIB,NASA-MODIS,high,-0.13049,10933752.0,,,21.8,34.6,26.6,1
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,29/08/2023,13:50 WIB,NASA-NOAA20,high,-0.81051,11035065.0,,,23.6,34.8,29.0,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,12/08/2023,13:14 WIB,NASA-MODIS,high,-187883.0,11082427.0,,,22.5,32.3,26.6,1
Kalimantan Barat,MELAWI,Sokan,Tanjung Mahung,31/07/2023,13:01 WIB,NASA-MODIS,high,-1063.0,1114557.0,,,22.7,34.2,27.9,1
Kalimantan Barat,MELAWI,Belimbing,Nanga Pau,08/08/2023,13:44 WIB,NASA-MODIS,high,-0.43542,11142487.0,,,22.8,33.4,28.3,1
Kalimantan Barat,SINTANG,Serawai,Sawang Senghiang,18/08/2023,12:16 WIB,NASA-NOAA20,high,-0.18,11261105.0,,,23.4,34.6,26.9,1
Kalimantan Barat,SINTANG,Ketungau Hulu,Embaleh,31/07/2023,13:03 WIB,NASA-MODIS,high,0.78961,11129347.0,,,21.2,34.2,27.4,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,27/07/2023,13:31 WIB,NASA-MODIS,high,-0.66441,11030282.0,,,24.0,32.6,28.5,1
Kalimantan Barat,MELAWI,Belimbing Hulu,Nanga Keberak,19/08/2023,13:37 WIB,NASA-NOAA20,high,-0.39419,11148582.0,,,24.7,35.2,29.2,1
Kalimantan Barat,KETAPANG,Kendawangan,Bangkal Serai,03/08/2023,13:37 WIB,NASA-NOAA20,high,-233005.0,11055733.0,,,22.9,34.0,27.6,1
Kalimantan Tengah,KOTAWARINGIN TIMUR,Mentawa Baru Ketapang,Eka Bahurui,22/08/2023,01:19 WIB,NASA-MODIS,high,-261087.0,1129446.0,,,22.4,33.1,27.9,1
Kalimantan Barat,KETAPANG,Jelai Hulu,Periangan,29/08/2023,13:37 WIB,NASA-MODIS,high,-207451.0,11089583.0,,,23.6,34.8,29.0,1
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Kecil,27/07/2023,13:31 WIB,NASA-MODIS,high,-0.11525,10932002.0,,,23.6,34.0,27.5,1
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,27/07/2023,13:31 WIB,NASA-MODIS,high,-0.7354,11038219.0,,,24.0,32.6,28.5,1
Kalimantan Barat,SINTANG,Ambalau,Nanga Pahangan,29/07/2023,13:31 WIB,NASA-NOAA20,high,-0.29426,11305988.0,,,21.3,33.0,27.1,1
Kalimantan Barat,SAMBAS,Paloh,Temajuk,15/06/2023,13:40 WIB,NASA-MODIS,high,195883.0,10947733.0,,,24.0,33.2,27.0,1
Kalimantan Barat,SAMBAS,Semparuk,Sepinggan,31/07/2023,21:44 WIB,NASA-MODIS,high,110101.0,10911206.0,,,23.2,34.2,27.9,1
Kalimantan Barat,SAMBAS,Jawai,Sarang Burung Danau,31/07/2023,13:03 WIB,NASA-MODIS,high,146165.0,10910943.0,,,23.2,34.2,27.9,1
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Keluas Hulu,12/08/2023,13:14 WIB,NASA-MODIS,high,-0.71211,11134699.0,,,23.0,34.0,27.5,1
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Hilir,07/08/2023,13:01 WIB,NASA-MODIS,high,-0.59665,11019176.0,,,24.3,30.0,27.2,1
Kalimantan Barat,MELAWI,Ella Hilir,Sungai Labuk,14/08/2023,13:31 WIB,NASA-NOAA20,high,-0.64312,11211993.0,,,23.7,32.2,27.5,1
