Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Barat,SINTANG,Ketungau Tengah,Radin Jaya,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,22.4,33.4,27.6,0.0,2.0
Kalimantan Barat,SAMBAS,Salatiga,Serumpun,2023-07-31 00:00:00,21:44 WIB,NASA-MODIS,High,23.2,34.2,27.9,0.0,1.0
Kalimantan Barat,SINTANG,Ambalau,Pulou Sabhang,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Radin Jaya,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,2023-06-03 00:00:00,13:25 WIB,NASA-MODIS,High,26.1,34.5,29.4,0.0,3.0
Kalimantan Barat,MELAWI,Menukung,Nanga Mawang Mentatai,2023-08-18 00:00:00,12:16 WIB,NASA-NOAA20,High,24.5,34.0,28.9,0.0,2.0
Kalimantan Barat,SINTANG,Ambalau,Luting Mingan,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Riam Dadap,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Besar,2023-08-16 00:00:00,02:04 WIB,NASA-MODIS,High,23.9,33.4,27.9,0.0,3.0
Kalimantan Barat,KETAPANG,Kendawangan,Bangkal Serai,2023-06-24 00:00:00,13:22 WIB,NASA-MODIS,High,24.2,32.6,28.3,0.0,2.0
Kalimantan Barat,KETAPANG,Manis Mata,Pelempangan,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaibulan,2023-07-26 00:00:00,21:37 WIB,NASA-MODIS,High,23.4,34.0,28.1,0.0,3.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Krio Hulu,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Pelang,2023-08-22 00:00:00,09:38 WIB,NASA-MODIS,High,24.2,34.4,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,MELAWI,Sayan,Nanga Kompi,2023-08-14 00:00:00,13:31 WIB,NASA-NOAA20,High,23.7,32.2,27.5,0.0,2.0
Kalimantan Barat,SINTANG,Kayan Hulu,Tanjung Bunga,2023-08-29 00:00:00,13:40 WIB,NASA-MODIS,High,24.8,34.0,27.9,0.0,1.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,2023-08-29 00:00:00,09:32 WIB,NASA-MODIS,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Dua,Gema,2023-08-19 00:00:00,13:37 WIB,NASA-NOAA20,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Dua,Semandang Kanan,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Batu Mas,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Melayu Rayak,Jairan Jaya,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Hulu Sungai,Senduruhan,2023-08-15 00:00:00,13:42 WIB,NASA-MODIS,High,23.0,33.4,27.7,0.0,4.0
Kalimantan Tengah,BARITO SELATAN,Gunung Bintang Awai,Patas I,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.0,35.0,28.9,0.0,1.0
Kalimantan Barat,SAMBAS,Jawai,Lambau,2023-08-13 00:00:00,13:52 WIB,NASA-NOAA20,High,23.4,33.4,27.7,0.0,1.0
Kalimantan Utara,NUNUKAN,Sebuku,Tetaban,2023-08-26 00:00:00,13:08 WIB,NASA-NOAA20,High,24.8,32.9,28.5,8888.0,2.0
Kalimantan Barat,MELAWI,Ella Hilir,Kerangan Kora,2023-08-31 00:00:00,21:33 WIB,NASA-MODIS,High,24.6,34.9,29.1,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Kepari,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Menakon,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,23.2,33.5,26.9,0.2,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Semandang Hulu,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Nanga Kelampai,2023-08-10 00:00:00,13:29 WIB,NASA-MODIS,High,23.8,33.3,27.9,0.0,4.0
