Provinsi;Kab Kota;Kecamatan;Desa;Tanggal;Waktu;Satelit;Confidence;Latitude;Longitude;TN;TX;TAVG;RR;FF_AVG;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Riam Dadap;19/08/2023;13:12 WIB;NASA-MODIS;Medium;-1,00000;18124;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Riam Dadap;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;15908;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sekukun;01/07/2023;13:22 WIB;NASA-MODIS;Medium;-1,00000;28714;25.0;34.3;28.2;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sekukun;29/07/2023;13:16 WIB;NASA-MODIS;Medium;-1,00000;2753;23.7;33.6;28.3;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sekukun;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;2715;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sekukun;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;29168;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Senduruhan;17/08/2023;13:27 WIB;NASA-MODIS;Medium;0,00000;85051;24.4;33.8;28.0;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Senduruhan;19/08/2023;13:12 WIB;NASA-MODIS;Medium;0,00000;99906;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Senduruhan;24/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;94119;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Senduruhan;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;147;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;10/08/2023;13:29 WIB;NASA-MODIS;Medium;0,00000;70794;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;12/08/2023;13:14 WIB;NASA-MODIS;Medium;0,00000;8337;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;13/08/2023;13:57 WIB;NASA-MODIS;Medium;0,00000;75613;22.6;33.2;27.2;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;15/08/2023;09:47 WIB;NASA-MODIS;Medium;0,00000;7901;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;24/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;76618;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Sunge Bengaras;31/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;85269;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Air Dua;03/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;94252;22.9;34.0;27.6;7.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Air Dua;15/08/2023;13:42 WIB;NASA-MODIS;Medium;-1,00000;96107;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kesuma Jaya;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;92536;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kesuma Jaya;17/08/2023;13:27 WIB;NASA-MODIS;Medium;-1,00000;93982;24.4;33.8;28.0;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kesuma Jaya;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;94077;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kusik Batu Lapu;03/08/2023;13:29 WIB;NASA-MODIS;Medium;-2,00000;3636;22.9;34.0;27.6;7.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kusik Batu Lapu;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;98939;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Kusik Batu Lapu;29/08/2023;13:40 WIB;NASA-MODIS;Medium;-1,00000;98675;23.6;34.8;29.0;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;05/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;84031;24.9;34.2;28.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;89821;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;14/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;87926;23.3;33.0;27.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;15/08/2023;13:42 WIB;NASA-MODIS;Medium;-1,00000;79771;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;84489;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Limpang;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;87861;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pangkalan Suka;05/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;91371;24.9;34.2;28.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pangkalan Suka;14/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;9536;23.3;33.0;27.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pangkalan Suka;19/08/2023;13:12 WIB;NASA-MODIS;Medium;-1,00000;93124;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pangkalan Suka;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;96784;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pasir Mayang;05/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;80456;24.9;34.2;28.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pasir Mayang;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;85361;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pasir Mayang;13/08/2023;13:57 WIB;NASA-MODIS;Medium;-1,00000;86506;22.6;33.2;27.2;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Jelai Hulu;Pasir Mayang;21/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;82998;24.3;33.8;28.6;0.0;4.0;;;
